Lexema:   TRUE      Tipo:  boleano   Linea   20   Columna 14
Lexema:   ,      Tipo:  coma   Linea   20   Columna 14
Lexema:   #000000      Tipo:  CodigoColor   Linea   20   Columna 22
Lexema:   ]      Tipo:  corcheteCerrar   Linea   20   Columna 22
Lexema:   ,      Tipo:  coma   Linea   20   Columna 23
Lexema:   [      Tipo:  corcheteAbrir   Linea   21   Columna 4
Lexema:   3      Tipo:  entero   Linea   21   Columna 6
Lexema:   ,      Tipo:  coma   Linea   21   Columna 6
Lexema:   1      Tipo:  entero   Linea   21   Columna 8
Lexema:   ,      Tipo:  coma   Linea   21   Columna 8
Lexema:   TRUE      Tipo:  boleano   Linea   21   Columna 13
Lexema:   ,      Tipo:  coma   Linea   21   Columna 13
Lexema:   #000000      Tipo:  CodigoColor   Linea   21   Columna 21
Lexema:   ]      Tipo:  corcheteCerrar   Linea   21   Columna 21
Lexema:   ,      Tipo:  coma   Linea   21   Columna 22
Lexema:   [      Tipo:  corcheteAbrir   Linea   22   Columna 4
Lexema:   4      Tipo:  entero   Linea   22   Columna 6
Lexema:   ,      Tipo:  coma   Linea   22   Columna 6
Lexema:   1      Tipo:  entero   Linea   22   Columna 8
Lexema:   ,      Tipo:  coma   Linea   22   Columna 8
Lexema:   TRUE      Tipo:  boleano   Linea   22   Columna 13
Lexema:   ,      Tipo:  coma   Linea   22   Columna 13
Lexema:   #000000      Tipo:  CodigoColor   Linea   22   Columna 21
Lexema:   ]      Tipo:  corcheteCerrar   Linea   22   Columna 21
Lexema:   ,      Tipo:  coma   Linea   22   Columna 22
Lexema:   [      Tipo:  corcheteAbrir   Linea   23   Columna 4
Lexema:   7      Tipo:  entero   Linea   23   Columna 6
Lexema:   ,      Tipo:  coma   Linea   23   Columna 6
Lexema:   2      Tipo:  entero   Linea   23   Columna 8
Lexema:   ,      Tipo:  coma   Linea   23   Columna 8
Lexema:   TRUE      Tipo:  boleano   Linea   23   Columna 13
Lexema:   ,      Tipo:  coma   Linea   23   Columna 13
Lexema:   #00FF00      Tipo:  CodigoColor   Linea   23   Columna 21
Lexema:   ]      Tipo:  corcheteCerrar   Linea   23   Columna 21
Lexema:   ,      Tipo:  coma   Linea   23   Columna 22
Lexema:   [      Tipo:  corcheteAbrir   Linea   24   Columna 4
Lexema:   8      Tipo:  entero   Linea   24   Columna 6
Lexema:   ,      Tipo:  coma   Linea   24   Columna 6
Lexema:   2      Tipo:  entero   Linea   24   Columna 8
Lexema:   ,      Tipo:  coma   Linea   24   Columna 8
Lexema:   TRUE      Tipo:  boleano   Linea   24   Columna 13
Lexema:   ,      Tipo:  coma   Linea   24   Columna 13
Lexema:   #00FF00      Tipo:  CodigoColor   Linea   24   Columna 21
Lexema:   ]      Tipo:  corcheteCerrar   Linea   24   Columna 21
Lexema:   ,      Tipo:  coma   Linea   24   Columna 22
Lexema:   [      Tipo:  corcheteAbrir   Linea   25   Columna 4
Lexema:   2      Tipo:  entero   Linea   25   Columna 6
Lexema:   ,      Tipo:  coma   Linea   25   Columna 6
Lexema:   2      Tipo:  entero   Linea   25   Columna 8
Lexema:   ,      Tipo:  coma   Linea   25   Columna 8
Lexema:   TRUE      Tipo:  boleano   Linea   25   Columna 13
Lexema:   ,      Tipo:  coma   Linea   25   Columna 13
Lexema:   #000000      Tipo:  CodigoColor   Linea   25   Columna 21
Lexema:   ]      Tipo:  corcheteCerrar   Linea   25   Columna 21
Lexema:   ,      Tipo:  coma   Linea   25   Columna 22
Lexema:   [      Tipo:  corcheteAbrir   Linea   26   Columna 4
Lexema:   3      Tipo:  entero   Linea   26   Columna 6
Lexema:   ,      Tipo:  coma   Linea   26   Columna 6
Lexema:   2      Tipo:  entero   Linea   26   Columna 8
Lexema:   ,      Tipo:  coma   Linea   26   Columna 8
Lexema:   TRUE      Tipo:  boleano   Linea   26   Columna 13
Lexema:   ,      Tipo:  coma   Linea   26   Columna 13
Lexema:   #000000      Tipo:  CodigoColor   Linea   26   Columna 21
Lexema:   ]      Tipo:  corcheteCerrar   Linea   26   Columna 21
Lexema:   ,      Tipo:  coma   Linea   26   Columna 22
Lexema:   [      Tipo:  corcheteAbrir   Linea   27   Columna 4
Lexema:   12      Tipo:  entero   Linea   27   Columna 7
Lexema:   ,      Tipo:  coma   Linea   27   Columna 7
Lexema:   2      Tipo:  entero   Linea   27   Columna 9
Lexema:   ,      Tipo:  coma   Linea   27   Columna 9
Lexema:   TRUE      Tipo:  boleano   Linea   27   Columna 14
Lexema:   ,      Tipo:  coma   Linea   27   Columna 14
Lexema:   #000000      Tipo:  CodigoColor   Linea   27   Columna 22
Lexema:   ]      Tipo:  corcheteCerrar   Linea   27   Columna 22
Lexema:   ,      Tipo:  coma   Linea   27   Columna 23
Lexema:   [      Tipo:  corcheteAbrir   Linea   28   Columna 4
Lexema:   13      Tipo:  entero   Linea   28   Columna 7
Lexema:   ,      Tipo:  coma   Linea   28   Columna 7
Lexema:   2      Tipo:  entero   Linea   28   Columna 9
Lexema:   ,      Tipo:  coma   Linea   28   Columna 9
Lexema:   TRUE      Tipo:  boleano   Linea   28   Columna 14
Lexema:   ,      Tipo:  coma   Linea   28   Columna 14
Lexema:   #000000      Tipo:  CodigoColor   Linea   28   Columna 22
Lexema:   ]      Tipo:  corcheteCerrar   Linea   28   Columna 22
Lexema:   ,      Tipo:  coma   Linea   28   Columna 23
Lexema:   [      Tipo:  corcheteAbrir   Linea   29   Columna 4
Lexema:   13      Tipo:  entero   Linea   29   Columna 7
Lexema:   ,      Tipo:  coma   Linea   29   Columna 7
Lexema:   3      Tipo:  entero   Linea   29   Columna 9
Lexema:   ,      Tipo:  coma   Linea   29   Columna 9
Lexema:   TRUE      Tipo:  boleano   Linea   29   Columna 14
Lexema:   ,      Tipo:  coma   Linea   29   Columna 14
Lexema:   #000000      Tipo:  CodigoColor   Linea   29   Columna 22
Lexema:   ]      Tipo:  corcheteCerrar   Linea   29   Columna 22
Lexema:   ,      Tipo:  coma   Linea   29   Columna 23
Lexema:   [      Tipo:  corcheteAbrir   Linea   30   Columna 4
Lexema:   14      Tipo:  entero   Linea   30   Columna 7
Lexema:   ,      Tipo:  coma   Linea   30   Columna 7
Lexema:   3      Tipo:  entero   Linea   30   Columna 9
Lexema:   ,      Tipo:  coma   Linea   30   Columna 9
Lexema:   TRUE      Tipo:  boleano   Linea   30   Columna 14
Lexema:   ,      Tipo:  coma   Linea   30   Columna 14
Lexema:   #000000      Tipo:  CodigoColor   Linea   30   Columna 22
Lexema:   ]      Tipo:  corcheteCerrar   Linea   30   Columna 22
Lexema:   ,      Tipo:  coma   Linea   30   Columna 23
Lexema:   [      Tipo:  corcheteAbrir   Linea   31   Columna 4
Lexema:   1      Tipo:  entero   Linea   31   Columna 6
Lexema:   ,      Tipo:  coma   Linea   31   Columna 6
Lexema:   3      Tipo:  entero   Linea   31   Columna 8
Lexema:   ,      Tipo:  coma   Linea   31   Columna 8
Lexema:   TRUE      Tipo:  boleano   Linea   31   Columna 13
Lexema:   ,      Tipo:  coma   Linea   31   Columna 13
Lexema:   #000000      Tipo:  CodigoColor   Linea   31   Columna 21
Lexema:   ]      Tipo:  corcheteCerrar   Linea   31   Columna 21
Lexema:   ,      Tipo:  coma   Linea   31   Columna 22
Lexema:   [      Tipo:  corcheteAbrir   Linea   32   Columna 4
Lexema:   2      Tipo:  entero   Linea   32   Columna 6
Lexema:   ,      Tipo:  coma   Linea   32   Columna 6
Lexema:   3      Tipo:  entero   Linea   32   Columna 8
Lexema:   ,      Tipo:  coma   Linea   32   Columna 8
Lexema:   TRUE      Tipo:  boleano   Linea   32   Columna 13
Lexema:   ,      Tipo:  coma   Linea   32   Columna 13
Lexema:   #000000      Tipo:  CodigoColor   Linea   32   Columna 21
Lexema:   ]      Tipo:  corcheteCerrar   Linea   32   Columna 21
Lexema:   ,      Tipo:  coma   Linea   32   Columna 22
Lexema:   [      Tipo:  corcheteAbrir   Linea   33   Columna 4
Lexema:   3      Tipo:  entero   Linea   33   Columna 6
Lexema:   ,      Tipo:  coma   Linea   33   Columna 6
Lexema:   3      Tipo:  entero   Linea   33   Columna 8
Lexema:   ,      Tipo:  coma   Linea   33   Columna 8
Lexema:   TRUE      Tipo:  boleano   Linea   33   Columna 13
Lexema:   ,      Tipo:  coma   Linea   33   Columna 13
Lexema:   #00FF00      Tipo:  CodigoColor   Linea   33   Columna 21
